message;EN;DE;ES;FR
welcome_msg;Welcome to the experiment!;Willkommen zum Experiment!;Bienvenido/a al experimento.;Bienvenue dans l’expérience.
adv_msg;press SPACE to continue;zum Fortfahren LEERTASTE drücken;Pulse la BARRA ESPACIADORA para continuar.;Appuyez sur la BARRE D’ESPACE pour continuer.
bye_msg;This is the end of the experiment.<br><br>Thank you for participating!<br><br>The experiment finishes in 3 seconds.;Dies ist das Ende des Experiments.<br><br>Vielen Dank für Ihre Teilnahme!<br><br>Das Experiment schließt sich in 3 Sekunden.;Este es el final del experimento.<br><br>Gracias por su participación.<br><br>El experimento finalizará en 3 segundos.;Ceci est la fin de l’expérience.<br><br>Merci pour votre participation.<br><br>L’expérience se terminera dans 3 secondes.
volume_calib_msg;In this experiment, you will listen to multiple audio recordings.<br>Click on “Play test sound” and adjust the volume on your device accordingly.;In diesem Experiment werden Sie mehrere Audios anhören.<br>Klicken Sie auf ‚Testton abspielen‘ abspielen und stellen Sie die Lautstärke an Ihrem Gerät passend ein.;En este experimento, escuchará varios audios.<br>Haga clic en “Reproducir sonido de prueba” y ajuste el volumen de su dispositivo según sea necesario.;Dans cette expérience, vous écouterez plusieurs enregistrements audio.<br>Cliquez sur « Lire le son de test » et ajustez le volume de votre appareil en conséquence.
testsound_label;Play test sound;Testton abspielen;Reproducir sonido de prueba;Lire le son de test
testsound;Adjust the volume on your device so that you can hear this audio clearly.<br>Please keep the volume unchanged afterwards.<br>Then press the space bar to continue.;Stellen Sie die Lautstärke an Ihrem Gerät so ein, dass Sie dieses Audio klar und deutlich hören können.<br>Bitte lassen Sie die Lautstärke anschließend unverändert.<br>Drücken Sie danach die Leertaste, um fortzufahren.;Ajuste el volumen de su dispositivo para que pueda escuchar este audio con claridad.<br>Por favor, mantenga el volumen sin cambios a continuación.<br>Luego presione la barra espaciadora para continuar.;Réglez le volume de votre appareil de manière à entendre clairement cet audio.<br>Veuillez ensuite laisser le volume inchangé.<br>Appuyez ensuite sur la barre d’espace pour continuer.
fam_msg_1a;In the following, you will see 16 images of a person from behind<br>who started in this upright, standing position …;"Im Folgenden sehen Sie 16 Bilder einer Person von hinten,<br>die in dieser aufrechten, stehenden Position startete… ";A continuación, verá 16 imágenes de una persona vista desde atrás,<br>que comenzó en esta posición erguida y de pie …;Dans ce qui suit, vous verrez 16 images d’une personne vue de dos,<br>qui a commencé dans cette position droite et debout …
fam_msg_1b;… and then performed a movement.;… und danach eine Bewegung ausführte.;… y después realizó un movimiento.;… et a ensuite effectué un mouvement.
fam_msg_2;Decide which movement the person in the image was instructed to perform:;"Entscheiden Sie, welche Bewegung der Person im Bild instruiert wurde: ";Decida qué movimiento le fue instruido a la persona en la imagen:;Décidez quel mouvement a été instruit à la personne sur l’image:
straight;Assume an upright, standing posture.;Nehmen Sie eine aufrechte, stehende Haltung ein.;Adopte una postura erguida y de pie.;Adoptez une posture droite et debout.
